codigo,nombre,descripcion,categoria,subCategoria,costo,unidadMedida,proveedor,stockMinimo,valorCompra,valorVenta,stock,estado
MECHA AC RAP 5 MM, Mecha AC. RPDO 5.00mm,"Mecha para Madera/Acero de 5.00mm

La herramienta precisa para proyectos impecables.

Esta mecha de acero rápido (HSS) de 5.00mm es tu aliada perfecta para perforaciones en madera. Su diseño afilado garantiza un corte limpio y sin astillas, ideal para trabajos de precisión en proyectos de carpintería, como la instalación de herrajes o la preparación de uniones.

Características destacadas:

Material: Acero Rápido (HSS), que asegura mayor durabilidad y resistencia al desgaste.

Precisión: Su punta centrada evita que la broca se desvíe, logrando agujeros exactamente donde los necesitas.

Versatilidad: Compatible con la mayoría de los taladros y atornilladores del mercado.

Con esta mecha, cada perforación será un paso más hacia un acabado profesional. ¡Un básico indispensable en la caja de herramientas de todo carpintero!",Ferretería,MECHAS,1,Unidad,CARLOS DIS,1,1800,3300,6,Activo
3015,3015,nada,Ferretería,Herrajes,868,Unidad,Global,1,1,2100,,Activo
3020,3020,nada,Ferretería,Herrajes,1172,Unidad,Global,1,1,2800,,Activo
3025,3025,nada,Ferretería,Herrajes,1522,Unidad,Global,1,1,3700,,Activo
3028,3028,nada,Ferretería,Herrajes,0.99,Unidad,CARLOS DIS,1,811,1300,,Activo
3030,3030,nada,Ferretería,Herrajes,2014,Unidad,Global,1,1,4900,,Activo
3082,3082,nada,Ferretería,Herrajes,517,Unidad,Global,1,1,1300,20,Activo
3083,3083,nada,Ferretería,Herrajes,517,Unidad,Global,1,1,1300,7,Activo
3097,3097,nada,Ferretería,Herrajes,450,Unidad,Global,1,1,1100,,Activo
3098,3098,nada,Ferretería,Herrajes,450,Unidad,Global,1,1,1100,,Activo
3105,3105,nada,Ferretería,Herrajes,431,Unidad,Global,1,1,1000,20,Activo
3106,3106,nada,Ferretería,Herrajes,929,Unidad,Global,1,1,2200,16,Activo
3109,3109,nada,Ferretería,Herrajes,301,Unidad,Global,1,1,700,15,Activo
3114,3114,nada,Ferretería,Herrajes,1418,Unidad,Global,1,1,3400,,Activo
3117,3117,nada,Ferretería,Herrajes,1810,Unidad,Global,1,1,4400,,Activo
3118,3118,nada,Ferretería,Herrajes,2018,Unidad,Global,1,1,4900,,Activo
3123,3123,nada,Ferretería,Herrajes,570,Unidad,Global,1,1,1400,,Activo
3124,3124,nada,Ferretería,Herrajes,1301,Unidad,Global,1,1,3100,21,Activo
3125,3125,nada,Ferretería,Herrajes,2172,Unidad,Global,1,1,4900,29,Activo
3125a,3125a,nada,Ferretería,Herrajes,2172,Unidad,Global,1,1,4900,,Activo
3127,3127,nada,Ferretería,Herrajes,1577,Unidad,Global,1,1,3800,20,Activo
3128,3128,nada,Ferretería,Herrajes,1782,Unidad,Global,1,1,4300,78,Activo
3129,3129,nada,Ferretería,Herrajes,2432,Unidad,Global,1,1,5900,,Activo
3131,3131,nada,Ferretería,Herrajes,228,Unidad,Global,1,1,600,8,Activo
3132,3132,nada,Ferretería,Herrajes,282,Unidad,Global,1,1,700,10,Activo
3133,3133,nada,Ferretería,Herrajes,364,Unidad,Global,1,1,900,7,Activo
3134,3134,nada,Ferretería,Herrajes,421,Unidad,Global,1,1,1100,,Activo
3135,3135,nada,Ferretería,Herrajes,511,Unidad,Global,1,1,1200,-10,Activo
3136,3136,nada,Ferretería,Herrajes,641,Unidad,Global,1,1,1600,10,Activo
3137,3137,nada,Ferretería,Herrajes,736,Unidad,Global,1,1,1800,,Activo
3138,3138,nada,Ferretería,Herrajes,517,Unidad,Global,1,1,1300,,Activo
3139,3139,nada,Ferretería,Herrajes,947,Unidad,Global,1,1,2300,,Activo
3144,3144,nada,Ferretería,Herrajes,1301,Unidad,Global,1,1,3100,,Activo
3147,3147,nada,Ferretería,Herrajes,1577,Unidad,Global,1,1,3800,,Activo
3148,3148,nada,Ferretería,Herrajes,1782,Unidad,Global,1,1,4300,,Activo
3154,3154,nada,Ferretería,Herrajes,1493,Unidad,Global,1,1,3600,,Activo
3157,3157,nada,Ferretería,Herrajes,1878,Unidad,Global,1,1,4500,,Activo
3158,3158,nada,Ferretería,Herrajes,2090,Unidad,Global,1,1,5100,,Activo
3167,3167,nada,Ferretería,Herrajes,1251,Unidad,Global,1,1,3000,-4,Activo
3171,3171,nada,Ferretería,Herrajes,450,Unidad,Global,1,1,1100,,Activo
3175,3175,nada,Ferretería,Herrajes,947,Unidad,Global,1,1,2300,3,Activo
3176,3176,nada,Ferretería,Herrajes,947,Unidad,Global,1,1,2300,,Activo
3186,3186,nada,Ferretería,Herrajes,2739,Unidad,Global,1,1,6600,,Activo
3187,3187,nada,Ferretería,Herrajes,8656,Unidad,Global,1,1,2100,,Activo
3188,3188,nada,Ferretería,Herrajes,4039,Unidad,Global,1,1,9800,,Activo
3189,3189,nada,Ferretería,Herrajes,10469,Unidad,Global,1,1,25300,,Activo
3190,3190,nada,Ferretería,Herrajes,5308,Unidad,Global,1,1,12800,,Activo
3191,3191,nada,Ferretería,Herrajes,12621,Unidad,Global,1,1,30500,,Activo
3304,3304,nada,Ferretería,Herrajes,1863,Unidad,Global,1,1,4500,,Activo
3305,3305,nada,Ferretería,Herrajes,2985,Unidad,Global,1,1,7200,,Activo
3311,3311,nada,Ferretería,Herrajes,1017,Unidad,Global,1,1,2500,,Activo
3312,3312,nada,Ferretería,Herrajes,1566,Unidad,Global,1,1,3800,,Activo
3313,3313,nada,Ferretería,Herrajes,1805,Unidad,Global,1,1,4400,,Activo
3315,3315,nada,Ferretería,Herrajes,772,Unidad,Global,1,1,1900,,Activo
3316,3316,nada,Ferretería,Herrajes,4407,Unidad,Global,1,1,10700,,Activo
3382,3382,nada,Ferretería,Herrajes,1726,Unidad,Global,1,1,4200,,Activo
4015,4015,nada,Ferretería,Herrajes,495,Unidad,Global,1,1,1200,,Activo
4020,4020,nada,Ferretería,Herrajes,697,Unidad,Global,1,1,1700,,Activo
4025,4025,nada,Ferretería,Herrajes,845,Unidad,Global,1,1,2000,,Activo
4030,4030,nada,Ferretería,Herrajes,1042,Unidad,Global,1,1,2500,,Activo
4517,4517,nada,Ferretería,Herrajes,1429,Unidad,Global,1,1,3500,,Activo
4518,4518,nada,Ferretería,Herrajes,1956,Unidad,Global,1,1,4700,,Activo
4519,4519,nada,Ferretería,Herrajes,2242,Unidad,Global,1,1,5400,,Activo
5040,5040,nada,Ferretería,Herrajes,3771,Unidad,Global,1,1,9100,,Activo
5050,5050,nada,Ferretería,Herrajes,4138,Unidad,Global,1,1,10000,,Activo
5060,5060,nada,Ferretería,Herrajes,4679,Unidad,Global,1,1,11300,,Activo
2002,AMODALORA ANG 380W SKILL,"Herramienta eléctrica potente y de alta velocidad que utiliza discos circulares abrasivos (de corte, desbaste o pulido) para trabajar sobre metal, piedra o cerámica . Es compacto y fácil de manejar.",Ferretería,Maquinas electricas,75057,Unidad,San nicolas,1,1,181600,1,Activo
4035,ARANDELAS ZINCADA 1/2,"Producto: Arandelas planas zincadas de 1/2 pulgada.
 Uso: Se coloca entre la tuerca (o cabeza del tornillo/bulón) y la superficie del material. Ideales para distribuir la carga de apriete, protegiendo la superficie y previniendo el aflojamiento.
 Beneficios: El zincado ofrece resistencia a la corrosión , prolongando la vida útil de la unión en exteriores o ambientes húmedos. Aseguran un mejor asiento y estabilidad en las fijaciones.",Ferretería,Herrajes,40,Unidad,Victoria,1,1,100,583,Activo
6019,Asfaltica X 1 L,"Pintura Asfáltica Qui-mera (1 Litro)

La protección definitiva contra la humedad para tus proyectos.

Cuando se trata de sellar y proteger superficies, nuestra Pintura Asfáltica Qui-mera de 1 litro es la solución profesional que necesitas. Este impermeabilizante de alta calidad crea una barrera impenetrable que previene filtraciones y protege tus estructuras de los daños causados por la humedad, el agua y las inclemencias del tiempo.

Ideal para la protección de cimientos, muros subterráneos, techos de chapa o madera, y cualquier superficie que requiera una defensa robusta y duradera. Su fórmula de secado rápido facilita la aplicación, permitiendo que tu proyecto avance sin demoras.

Características destacadas:

Función: Impermeabilizante y sellador de alta performance.

Resistencia: Ofrece una excelente protección contra la humedad, el agua y la corrosión.

Versatilidad: Apta para una amplia variedad de materiales como madera, metal, hormigón y mampostería.

Con esta pintura, no solo estás sellando una superficie, sino que estás invirtiendo en la vida útil y la seguridad de tus construcciones. ¡Un aliado indispensable para proyectos que exigen la máxima protección!",Ferretería,Pintura,4265,Unidad,QUI-MERA,1,1,10300,,Activo
6021,Asfaltica X 10 L,"Pintura Asfáltica Qui-mera (10 Litro)

La protección definitiva contra la humedad para tus proyectos.

Cuando se trata de sellar y proteger superficies, nuestra Pintura Asfáltica Qui-mera de 10 litros es la solución profesional que necesitas. Este impermeabilizante de alta calidad crea una barrera impenetrable que previene filtraciones y protege tus estructuras de los daños causados por la humedad, el agua y las inclemencias del tiempo.

Ideal para la protección de cimientos, muros subterráneos, techos de chapa o madera, y cualquier superficie que requiera una defensa robusta y duradera. Su fórmula de secado rápido facilita la aplicación, permitiendo que tu proyecto avance sin demoras.

Características destacadas:

Función: Impermeabilizante y sellador de alta performance.

Resistencia: Ofrece una excelente protección contra la humedad, el agua y la corrosión.

Versatilidad: Apta para una amplia variedad de materiales como madera, metal, hormigón y mampostería.

Con esta pintura, no solo estás sellando una superficie, sino que estás invirtiendo en la vida útil y la seguridad de tus construcciones. ¡Un aliado indispensable para proyectos que exigen la máxima protección!

",Ferretería,Pintura,30576,Unidad,QUI-MERA,1,1,74000,5,Activo
6022,Asfaltica X 18 L,"Pintura Asfáltica Qui-mera (18 Litro)

La protección definitiva contra la humedad para tus proyectos.

Cuando se trata de sellar y proteger superficies, nuestra Pintura Asfáltica Qui-mera de 18 litros es la solución profesional que necesitas. Este impermeabilizante de alta calidad crea una barrera impenetrable que previene filtraciones y protege tus estructuras de los daños causados por la humedad, el agua y las inclemencias del tiempo.

Ideal para la protección de cimientos, muros subterráneos, techos de chapa o madera, y cualquier superficie que requiera una defensa robusta y duradera. Su fórmula de secado rápido facilita la aplicación, permitiendo que tu proyecto avance sin demoras.

Características destacadas:

Función: Impermeabilizante y sellador de alta performance.

Resistencia: Ofrece una excelente protección contra la humedad, el agua y la corrosión.

Versatilidad: Apta para una amplia variedad de materiales como madera, metal, hormigón y mampostería.

Con esta pintura, no solo estás sellando una superficie, sino que estás invirtiendo en la vida útil y la seguridad de tus construcciones. ¡Un aliado indispensable para proyectos que exigen la máxima protección!",Ferretería,Pintura,49862,Unidad,QUI-MERA,1,1,120700,4,Activo
6020,Asfaltica X 4 L,"Pintura Asfáltica Qui-mera (1 Litro)

La protección definitiva contra la humedad para tus proyectos.

Cuando se trata de sellar y proteger superficies, nuestra Pintura Asfáltica Qui-mera de 1 litro es la solución profesional que necesitas. Este impermeabilizante de alta calidad crea una barrera impenetrable que previene filtraciones y protege tus estructuras de los daños causados por la humedad, el agua y las inclemencias del tiempo.

Ideal para la protección de cimientos, muros subterráneos, techos de chapa o madera, y cualquier superficie que requiera una defensa robusta y duradera. Su fórmula de secado rápido facilita la aplicación, permitiendo que tu proyecto avance sin demoras.

Características destacadas:

Función: Impermeabilizante y sellador de alta performance.

Resistencia: Ofrece una excelente protección contra la humedad, el agua y la corrosión.

Versatilidad: Apta para una amplia variedad de materiales como madera, metal, hormigón y mampostería.

Con esta pintura, no solo estás sellando una superficie, sino que estás invirtiendo en la vida útil y la seguridad de tus construcciones. ¡Un aliado indispensable para proyectos que exigen la máxima protección!",Ferretería,Pintura,13357,Unidad,QUI-MERA,1,1,32300,3,Activo
h11,BASE 5X5 CON TAPA,"Descripción del producto: Bisagra metálica de diseño robusto, ideal para portones y tranqueras. Su diseño ""doble tranquera"" (también conocido como bisagra munición o de pernio) permite una rotación completa y ofrece gran resistencia al peso. Mide 20 cm de largo.

Beneficios:

Alta Durabilidad: Fabricada para soportar las condiciones exteriores (intemperie) y el uso constante.

Mayor Estabilidad: Distribuye el peso de manera eficiente, ideal para portones pesados.

Fácil instalación: Se fija con tornillos o tirafondos (no incluidos) a la madera o poste.

Usos: Principalmente utilizado para la instalación de tranqueras, portones de campo, puertas de granero o cerramientos exteriores de gran tamaño y peso.",Ferretería,Herrajes,1,Unidad,CARLOS DIS,1,4992,8500,10,Activo
BI 11,"BISAGRA SIMPLE"" TRANQUERA 20 CM""","Descripción del producto: Herraje (generalmente una bisagra o pestillo de gran tamaño) de diseño robusto, ideal para portones pesados, con una longitud de 20 cm .

Beneficios: Gran resistencia mecánica y estructural. Soporta el peso y el movimiento constante de portones exteriores.

Usos: Instalación de puertas grandes, portones de garaje, tranqueras de campo o cerramientos exteriores de madera maciza.",Ferretería,Herrajes,1,Unidad,CARLOS DIS,1,6888,11100,10,Activo
1527 10,BISAGRA DE ATORNILLAR 10 CM ,"Descripción del producto: Bisagra metálica estándar con hojas planas, diseñada para fijarse directamente con tornillos o tirafondos. Mide 10 cm de largo.

Beneficios: Fácil y rápida de instalar. Versátil para puertas y ventanas de peso moderado.

Usos: Uso general en carpintería para puertas interiores, armarios, ventanas y cajas de madera.",Ferretería,Herrajes,1,Unidad,CARLOS DIS,1,2470,4300,10,Activo
BIS002,BISAGRA DE ATORNILLAR 30 CM,NADA,Ferretería,Herrajes,1,Unidad,CARLOS DIS,1,6000,11200,,Activo
1700-20,BISAGRA DOBLE TRANQUERA 20 CM,"Descripción del producto: Bisagra de alta resistencia (a menudo tipo pernio o munición) de 20 cm de longitud, diseñada para grandes portones exteriores.

Beneficios: Distribuye mejor la carga que una bisagra simple, ofreciendo máxima durabilidad y resistencia a la intemperie.

Usos: Fijación y soporte de tranqueras y portones pesados ​​de acceso en propiedades rurales o industriales.",Ferretería,Herrajes,0.98,Unidad,CARLOS DIS,1,13300,23400,5,Activo
1528 18 R,BISAGRA PASANTE 18 CM,"Descripción del producto: Bisagra cuyo eje o pernio está diseñado para pasar a través del marco o pilar, y se fija por ambos lados. Medida 18 cm .

Beneficios: Ofrece una fijación extremadamente fuerte y segura, a menudo con características antivandálicas.

Usos: Instalación de puertas o portones de seguridad, o donde se requiera una sujeción estructural muy robusta.",Ferretería,Herrajes,1,Unidad,CARLOS DIS,1,7290,12800,10,Activo
BULON C/R 6X56,BULON CABAEZA REDONDA 6X56,"Descripción del producto: Perno roscado con cabeza redondeada (cabeza de carruaje) y un cuello cuadrado. Diámetro 6 mm y largo 56 mm .

Beneficios: El cuello cuadrado se ancla en la madera impidiendo la rotación al apretar la tuerca. La cabeza lisa ofrece un acabado estético y sin salientes.

Usos: Conjunto de piezas de madera estructurales, fijación de herrajes pesados, donde se requiere un montaje al ras.",Ferretería,Tornillos,95,Unidad,CARLOS DIS,1,95,200,200,Activo
BULON C/R 6X63,BULON CABAEZA REDONDA 6X63,"Descripción del producto: Perno roscado con cabeza redondeada y cuello cuadrado. Diámetro 6 mm y largo 63 mm .

Beneficios: Ideal para uniones que necesitan una sujeción firme sin necesidad de utilizar arandelas de presión bajo la cabeza.

Usos: Unión de vigas, postes y estructuras de madera de espesor medio.",Ferretería,Tornillos,101,Unidad,CARLOS DIS,1,101,200,220,Activo
BULON C/R 6X50,BULON CABEZA REDONDA 6X50,"Descripción del producto: Perno roscado con cabeza redondeada y cuello cuadrado. Diámetro 6 mm y largo 50 mm .

Beneficios: Su longitud es ideal para maderas de 2 pulgadas de espesor.

Usos: Fijación de soportes metálicos o herrajes a postes de madera.",Ferretería,Tornillos,90,Unidad,CARLOS DIS,1,90,200,31,Activo
BULON C/R 6X76,BULON CABEZA REDONDA 6X76,"Descripción del producto: Perno roscado con cabeza redondeada y cuello cuadrado. Diámetro 6 mm y largo 76 mm .

Beneficios: Proporciona un agarre profundo y muy seguro para conjuntos más horribles.

Usos: Construcción de marcos y uniones en estructuras de madera más robustas o para fijar varias capas de madera.",Ferretería,Tornillos,114,Unidad,CARLOS DIS,1,114,200,70,Activo
6008,Barniz brillante X 1 L,"Descripción del producto: Recubrimiento líquido a base de resinas, transparente, que proporciona un acabado con alto nivel de brillo a la madera. Presentado en envase de 1 litro .

Beneficios: Protege la madera de la humedad, rayones y manchas. Resalta intensamente la veta y el color natural de la madera.

Usos: Acabado de muebles de interior, puertas, marcos, zócalos y artesanías que requieran un aspecto lustroso y duradero.",Ferretería,Pintura,9543,Unidad,QUI-MERA,1,1,23100,7,Activo
6010,Barniz brillante X 10 L,nada,Ferretería,Pintura,83511,Unidad,QUI-MERA,1,1,202100,,Activo
6011,Barniz brillante X 20 L,nada,Ferretería,Pintura,158716,Unidad,QUI-MERA,1,1,384100,,Activo
6009,Barniz brillante X 4 L,"Descripción del producto: Mismo recubrimiento brillante de protección para madera, en formato de 4 litros para cubrir superficies mayores.

Beneficios: Economía por volumen para proyectos grandes. Protección Proporciona y el mismo acabado estético de alto brillo.

Usos: Protección y embellecimiento de pisos de madera, decks, cielorrasos o mobiliario de grandes dimensiones.",Ferretería,Pintura,34358,Unidad,QUI-MERA,1,1,83100,4,Activo
6012,Barniz satinado X 1 L,nada,Ferretería,Pintura,10668,Unidad,QUI-MERA,1,1,25800,,Activo
6014,Barniz satinado X 20 L,nada,Ferretería,Pintura,177560,Unidad,QUI-MERA,1,1,429700,,Activo
6013,Barniz satinado X 4 L,nada,Ferretería,Pintura,38433,Unidad,QUI-MERA,1,1,93000,,Activo
clav001,CLAVADORA NEU/ BREMEN ,NADA,Ferretería,Maquinas electricas,77438,Unidad,CARLOS DIS,1,77438,123900,,Activo
4015,CLAVOS ESPIRALADOS 1,nada,Ferretería,Clavos,5303,Unidad,Victoria,1,1,7300,,Activo
4016,CLAVOS ESPIRALADOS 1 1/2,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 1 1/2 pulgadas de largo (aproximadamente 38 mm).

Beneficios: La rosca espiralada ofrece una resistencia al arranque superior a la de un clavo liso.

Usos: Fijación de tablas de machimbre o listas donde se requiere que la unión no ceda con el tiempo o el movimiento.",Ferretería,Clavos,4929,Unidad,Victoria,1,1,7300,49,Activo
4017,CLAVOS ESPIRALADOS 2,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 2 pulgadas de largo (aproximadamente 50 mm).

Beneficios: Fijación de alta seguridad para materiales de espesor medio.

Usos: Instalación de subsuelos, estructuras de muebles robustos y elementos sometidos a vibración.",Ferretería,Clavos,4699,Unidad,Victoria,1,1,7300,30,Activo
4018,CLAVOS ESPIRALADOS 2 2/1,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 2 1/2 pulgadas de largo (aproximadamente 63,5 mm).

Beneficios: Excelente para uniones que atraviesan maderas más gruesas y necesitan una sujeción máxima.

Usos: Construcción de pallets, cajas pesadas y carpintería estructural.",Ferretería,Clavos,4241,Unidad,Victoria,1,1,7300,42,Activo
4019,CLAVOS ESPIRALADOS 3,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 3 pulgadas de largo (aproximadamente 76 mm).

Beneficios: Proporciona una sujeción muy profunda y fuerte en maderas estructurales.

Usos: Ensamble de marcos, vigas ligeras y trabajos de techado.",Ferretería,Clavos,4033,Unidad,Victoria,1,1,7300,42,Activo
4020,CLAVOS ESPIRALADOS 4,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 4 pulgadas de largo (aproximadamente 100 mm).

Beneficios: Utilizado para unir maderas gruesas con máxima resistencia a la separación.

Usos: Trabajos de construcción que involucran maderas de 2x4 o similares.",Ferretería,Clavos,4137,Unidad,Victoria,1,1,7300,9,Activo
4021,CLAVOS ESPIRALADOS 5,"Descripción del producto: Clavos con vástago helicoidal (roscado) que mide 5 pulgadas de largo (aproximadamente 127 mm).

Beneficios: El clavo más largo de la serie espiralada, para uniones muy profundas y críticas.

Usos: Carpintería pesada y uniones estructurales donde se requiere máxima seguridad y anclaje.",Ferretería,Clavos,4116,Unidad,Victoria,1,1,7300,19,Activo
7271,CLAVOS NEUMATICO 40mm ,"escripción del producto: Clavos unidos por adhesivo o alambre en tiras, diseñados para ser cargados en una clavadora neumática . Mide 40 mm de largo.

Beneficios: Rapidez extrema en la colocación, uniformidad en la profundidad y eficiencia en proyectos de gran escala.

Usos: Fabricación de muebles, pallets, revestimientos y trabajos de producción masiva de carpintería.",Ferretería,,13467,Unidad,CARLOS DIS,1,13467,20700,4,Activo
4007,CLAVOS PUNTA PARIS 1,nada,Ferretería,Clavos,3809,Unidad,Victoria,1,1,7300,,Activo
4008,CLAVOS PUNTA PARIS 1 1/2,"Descripción del producto: Clavos de uso general, vástago liso y cabeza plana estándar, de 1 1/2 pulgadas de largo.

Beneficios: Clavo económico y versátil para trabajos ligeros.

Usos: Fijación de listones, molduras, armado de cajas y uso en carpintería ligera en general.",Ferretería,Clavos,3556,Unidad,Victoria,1,1,7300,3,Activo
4009,CLAVOS PUNTA PARIS 2,"Descripción del producto: Clavos de uso general, vástago liso y cabeza plana estándar, de 2 pulgadas de largo.

Beneficios: Mayor capacidad de sujeción que el de 1 1/2, ideal para maderas de espesor medio.

Usos: Conjunto de maderas estructurales ligeras, fijación de tablas y construcción básica.",Ferretería,Clavos,3366,Unidad,Victoria,1,1,7300,16,Activo
4010,CLAVOS PUNTA PARIS 2 1/2,"Descripción del producto: Clavos de uso general, vástago liso y cabeza plana estándar, de 2 1/2 pulgadas de largo.

Beneficios: El tamaño más común en construcción. Ofrece buen agarre para espesores estándar.

Usos: Fijación de vigas pequeñas, tablas de entablonado y carpintería de obra.",Ferretería,Clavos,3219,Unidad,Victoria,1,1,7300,34,Activo
4011,CLAVOS PUNTA PARIS 3,"Descripción del producto: Clavos de uso general, vástago liso y cabeza plana estándar, de 3 pulgadas de largo.

Beneficios: Utilizado en uniones estructurales que requieren penetración profunda.

Usos: Construcción de marcos, uniones de 2x4 (o maderas de 2 pulgadas), y carpintería de obra pesada.",Ferretería,Clavos,3219,Unidad,Victoria,1,1,7300,20,Activo
4012,CLAVOS PUNTA PARIS 3 1/2,nada,Ferretería,Clavos,3219,Unidad,Victoria,1,1,7300,,Activo
